feature,gain,split,permutation_macro_f1_drop_mean,permutation_std
Policy_Duration_Days,7803.874554514885,882,0.00905405430219206,0.007388154328775994
Gender,780.6817297935486,99,0.0022636454399109994,0.0023401657511094675
Marital Status,834.7161796092987,99,0.0022412800111177634,0.0053698966321360135
Policy_Start_Year,480.79817962646484,53,0.0016376585760247142,0.0026941237197697075
Customer Preferences,872.5683805942535,99,0.001379893358697204,0.002983796003047665
Deductible,6443.485430717468,787,0.0007381416545814923,0.003833036304270162
Driving Record,1310.978398323059,159,0.0004938081941806782,0.0027060189284866935
Age_Credit_Interaction,5732.202466845512,672,9.152991185700232e-05,0.005463520704764531
Segmentation Group,1585.9658694267273,191,-0.0004062631872839395,0.0040520777536141896
Credit Score,7112.698923110962,831,-0.0005126193052975347,0.0032474867261574965
Geographic Information,983.9565281867981,123,-0.0010474121634967415,0.001425860919285944
Age,3991.902577519417,477,-0.0011880765595083998,0.0052080435213909815
Interactions with Customer Service,3968.515316963196,476,-0.0013265310299934497,0.006254909840297185
Preferred Contact Time,1161.3313668966293,149,-0.0015232312437825635,0.002039850100010671
Premium_Coverage_Ratio,4536.489426136017,539,-0.001977577018053689,0.008513961902781508
Policy_Start_Month,2732.072068452835,335,-0.0026925658152311517,0.007996901050657318
Behavioral Data,1547.0426177978516,178,-0.0028830239910550117,0.006375048797874174
Preferred Language,1281.5896027088165,155,-0.0032149634615567966,0.0046934806708408645
Previous Claims History,1406.7941473722458,197,-0.003877361142500002,0.005453123542325951
Life Events,2573.767320871353,282,-0.004593509609141655,0.0034605378508046195
Claim History,813.9417948722839,92,-0.005802918131006207,0.004541993044532538
Policy Type,1005.1827001571655,106,-0.005983435909451884,0.0032321468984246237
Premium Amount,5939.636838674545,687,-0.006140489240975333,0.005357968516025861
Insurance Products Owned,2161.860958814621,236,-0.007461236291368301,0.003728102815791315
Education Level,1381.789019703865,172,-0.007576908951791017,0.003273743127831095
Income Level,1012.703812122345,107,-0.007800851821163612,0.005810296359240394
Purchase History,1295.2286176681519,149,-0.009232664685889225,0.0021597815907155944
Premium_Age_Ratio,5900.736756801605,673,-0.009434004253994021,0.010652834586899472
Occupation,3683.9538967609406,427,-0.009559262970631133,0.009360650620325995
Preferred Communication Channel,1230.898339509964,140,-0.010062617598843726,0.0071274923541513446
Coverage Amount,5655.919790863991,664,-0.01770916586619059,0.008819997435787845
Deductible_Coverage_Ratio,4726.7326065301895,564,-0.019880087180507343,0.006920678912214251
